"data_id","language","form","age","gender","mom_ed","comprehension","production"
32835,"Russian","WG",14,"Female",NA,343,7
32836,"Russian","WG",14,"Male",NA,144,6
32837,"Russian","WG",14,"Male",NA,230,35
32838,"Russian","WG",14,"Female",NA,413,36
32839,"Russian","WG",14,"Male",NA,66,0
32840,"Russian","WG",14,"Female",NA,274,76
32841,"Russian","WG",14,"Female",NA,73,5
32842,"Russian","WG",14,"Female",NA,97,9
32843,"Russian","WG",14,"Male",NA,197,11
32844,"Russian","WG",14,"Male",NA,279,26
32845,"Russian","WG",14,"Male",NA,167,0
32846,"Russian","WG",15,"Female",NA,289,33
32847,"Russian","WG",15,"Male",NA,308,17
32848,"Russian","WG",15,"Male",NA,281,32
32849,"Russian","WG",15,"Male",NA,135,13
32850,"Russian","WG",15,"Male",NA,181,18
32851,"Russian","WG",15,"Male",NA,81,32
32852,"Russian","WG",15,"Female",NA,254,1
32853,"Russian","WG",15,"Female",NA,215,5
32854,"Russian","WG",15,"Male",NA,129,18
32855,"Russian","WG",15,"Female",NA,208,62
32856,"Russian","WG",15,"Male",NA,231,11
32857,"Russian","WG",15,"Male",NA,309,13
32858,"Russian","WG",15,"Female",NA,224,41
32859,"Russian","WG",15,"Male",NA,223,9
32860,"Russian","WG",15,"Female",NA,137,12
32861,"Russian","WG",15,"Male",NA,267,22
32862,"Russian","WG",15,"Male",NA,120,42
32863,"Russian","WG",15,"Male",NA,260,18
32864,"Russian","WG",15,"Female",NA,340,11
32865,"Russian","WG",15,"Female",NA,240,24
32866,"Russian","WG",15,"Male",NA,205,13
32867,"Russian","WG",15,"Female",NA,200,20
32868,"Russian","WG",15,"Male",NA,385,20
32869,"Russian","WG",15,"Female",NA,206,11
32870,"Russian","WG",15,"Female",NA,278,17
32871,"Russian","WG",15,"Male",NA,293,6
32872,"Russian","WG",15,"Female",NA,64,8
32873,"Russian","WG",15,"Male",NA,36,7
32874,"Russian","WG",15,"Male",NA,163,3
32875,"Russian","WG",15,"Female",NA,194,6
32876,"Russian","WG",15,"Male",NA,239,14
32877,"Russian","WG",15,"Female",NA,225,6
32878,"Russian","WG",15,"Male",NA,201,13
32879,"Russian","WG",15,"Male",NA,286,20
